package_name,mf_event_id,device_type,event_type,event_publisher_name,event_sub_publisher_name,event_campaign_id,page_id,placement_id,ad_group_id,key_word,customer_click_id,customer_event_id,transaction_id,risk_score,fraud_category,fraud_sub_category,inserted_date,event_date_time,ip_address,ip_country,landing_page_url,referral_url,user_agent
web.mFilterIt.cpv,255969581,desktop,StepUploads,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,2398662,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T18:30:01.000Z,2409:40d2:68:b679:f809:368a:39f6:e84,IN_Uttar_Pradesh,https://diy.sharekhan.com/app/AccountApplication/StepUploads/2297371,https://diy.sharekhan.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
web.mFilterIt.cpv,255971451,mobile,StepUploads,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,2398667,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T18:35:11.000Z,150.107.27.235,IN_Maharashtra,https://diy.sharekhan.com/app/AccountApplication/StepUploads/2297377,https://diy.sharekhan.com/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36"
web.mFilterIt.cpv,255971672,mobile,StepApplicationStatus,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,obw8x9.1741154794274_2402:3a80:1ea3:cfa8:b84c:b0ee:8989:a301,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T18:35:26.000Z,2402:3a80:1ea3:cfa8:b84c:b0ee:8989:a301,IN_Gujarat,https://diy.sharekhan.com/app/AccountApplication/StepApplicationStatus/2297362,None,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36"
web.mFilterIt.cpv,255972318,mobile,StepApplicationStatus,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,None_2409:4081:dbb:55d5:b483:dcff:fecf:f461,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T18:37:21.000Z,2409:4081:dbb:55d5:b483:dcff:fecf:f461,IN_Maharashtra,https://diy.sharekhan.com/app/AccountApplication/StepApplicationStatus/2276786,None,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36"
web.mFilterIt.cpv,255972700,mobile,StepUploads,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,14im7dj.1741153399274_2409:4080:9d89:e6ae:b15e:8302:80fa:b0a2,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T18:38:08.000Z,2409:4080:9d89:e6ae:b15e:8302:80fa:b0a2,IN_Gujarat,https://diy.sharekhan.com/app/AccountApplication/StepUploads/2296146,None,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36"
web.mFilterIt.cpv,255975143,mobile,StepUploads,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,zww8g0.1741200235352_59.95.177.57,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T18:43:59.000Z,59.95.177.57,IN_Gujarat,https://diy.sharekhan.com/app/Account/Register?ReturnUrl=/app/AccountApplication/StepUploads/2278452,https://diy.sharekhan.com/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36"
web.mFilterIt.cpv,255976320,desktop,StepUploads,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,2377366,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T18:47:17.000Z,122.172.82.248,IN_Karnataka,https://diy.sharekhan.com/app/AccountApplication/StepUploads/2263544,https://diy.sharekhan.com/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
web.mFilterIt.cpv,255980062,desktop,StepNomineeDetails,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,v4psxq.1740132763148_122.172.82.248,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T18:58:49.000Z,122.172.82.248,IN_Karnataka,https://diy.sharekhan.com/app/AccountApplication/StepNomineeDetails/2263544,https://diy.sharekhan.com/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
web.mFilterIt.cpv,255982199,mobile,StepOtherInfo,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,2347497,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T19:05:12.000Z,103.181.7.74,IN_Bihar,https://diy.sharekhan.com/app/AccountApplication/StepOtherInfo/2225747,https://diy.sharekhan.com/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36"
web.mFilterIt.cpv,255989008,mobile,StepUploads,None,None,None,Open Free Trading Account - A Step-by-Step Guide in Online Trading for Beginners,NA,None,NA,NA,2398660,NULL,0,Not Fraud,Not Fraud,3/6/2025,2025-03-05T19:27:57.000Z,2401:4900:1ce3:f327:e53a:2bdd:8566:2418,IN_Tamil_Nadu,https://diy.sharekhan.com/app/AccountApplication/StepUploads/2297369#,https://diy.sharekhan.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1"
